gamma_base,alpha,beta_time,mu_log_time,sigma_log_time
0.267621,0.698628,0.979088,5.9436,1.01979
0.253595,0.678927,0.865269,5.93061,1.00285
0.245507,0.677306,0.95595,5.91419,1.0014
0.251659,0.654288,0.939353,5.91878,1.01642
0.251954,0.682264,0.97944,5.93897,1.00351
0.255767,0.668609,0.868487,5.93416,0.995892
0.244031,0.663129,1.0152,5.93412,1.00231
0.253771,0.656876,1.11136,5.93238,1.00016
0.249335,0.68174,0.911891,5.91869,1.00852
0.254547,0.689509,0.934894,5.9422,1.0006
0.251373,0.664436,0.999236,5.91595,0.998756
0.253026,0.67903,0.95164,5.92108,0.992127
0.258441,0.668608,0.997448,5.93671,0.998102
0.253313,0.684033,0.860737,5.94005,1.00868
0.245189,0.671684,0.991112,5.92488,1.01369
0.265638,0.679153,0.912007,5.91178,1.01816
0.252723,0.684434,0.902902,5.91878,0.996999
0.246009,0.690195,0.938783,5.92293,1.01406
0.261832,0.676555,0.912495,5.9163,1.00869
0.264727,0.672502,0.942129,5.92663,1.00137
0.246263,0.660554,0.961851,5.92239,1.00901
0.264781,0.671049,0.879909,5.93075,1.00235
0.252609,0.679232,0.849613,5.94123,1.00782
0.257908,0.67423,0.866916,5.94096,0.999509
0.243466,0.682996,0.876959,5.92843,1.00207
0.23176,0.674026,0.876571,5.94242,1.00612
0.262624,0.685017,0.9629,5.92973,0.99287
0.247934,0.695117,0.933631,5.93098,0.995554
0.24975,0.670514,0.861414,5.93881,1.00057
0.251419,0.674374,0.855834,5.93302,1.00631
0.251888,0.66809,0.879967,5.94228,1.00591
0.246173,0.660629,0.886087,5.93418,0.991443
0.255917,0.661114,0.871395,5.93134,1.0202
0.249081,0.669558,0.902428,5.92104,1.00776
0.25711,0.665815,0.858637,5.91894,1.00716
0.25472,0.700507,0.970714,5.9397,1.00387
0.263487,0.677864,0.942634,5.93084,0.999641
0.243604,0.668899,0.949043,5.93628,1.00739
0.262857,0.680652,0.885115,5.92984,1.01723
0.259367,0.659785,0.963115,5.93317,1.01416
0.25578,0.66039,0.918478,5.91092,1.00018
0.247856,0.680638,0.955002,5.9252,1.01506
0.2409,0.660967,1.02049,5.9433,1.00324
0.267321,0.672351,0.99729,5.92725,1.00684
0.257712,0.687698,0.902607,5.91994,1.00944
0.243437,0.682966,0.945908,5.92466,1.0043
0.255521,0.679174,0.862955,5.92495,1.01127
0.264518,0.663103,0.99318,5.93738,1.00065
0.25637,0.672062,0.900402,5.9306,0.999309
0.253638,0.661816,0.962996,5.9426,1.02249
0.260706,0.664349,0.920768,5.91817,0.99726
0.26765,0.673359,0.882126,5.93072,1.00767
0.262252,0.653925,0.990357,5.91914,1.00927
0.264889,0.675778,0.896144,5.93052,1.01296
0.255778,0.670783,0.956168,5.91988,1.01137
0.251229,0.668835,0.901866,5.93063,1.02171
0.264901,0.671116,0.944146,5.91338,1.00342
0.259056,0.676094,0.935392,5.92519,1.0102
0.256861,0.655857,0.920016,5.92951,0.999711
0.251777,0.664761,0.946702,5.90768,1.0055
0.265903,0.67667,0.839514,5.91179,1.00299
0.25252,0.679999,0.940953,5.94962,1.00079
0.244409,0.687257,0.987044,5.9302,1.02066
0.252912,0.669646,0.97816,5.91082,0.99551
0.25451,0.679139,0.99895,5.91885,1.00278
0.257146,0.680838,0.933332,5.92069,1.01622
0.267057,0.669197,0.905872,5.92269,1.01482
0.256129,0.678423,1.07035,5.92935,0.998854
0.251196,0.674096,0.907655,5.91865,1.00835
0.261398,0.66415,0.954029,5.93557,0.99677
0.242311,0.68458,0.902386,5.93233,1.01085
0.253454,0.681856,0.876128,5.95081,1.00242
0.233895,0.668878,0.954346,5.91843,1.00456
0.250352,0.666856,0.957133,5.94032,1.00551
0.258354,0.676727,0.983492,5.92754,1.01562
0.264123,0.662537,0.948336,5.92831,1.00344
0.246347,0.687339,0.957233,5.9307,1.00967
0.266897,0.674949,0.978398,5.93165,1.01563
0.263084,0.661185,0.883116,5.94343,1.01095
0.256672,0.658353,0.947764,5.93386,0.996618
0.254029,0.68235,0.949274,5.91997,1.01899
0.246369,0.659983,0.938561,5.92363,1.00034
0.259725,0.664839,0.939048,5.93354,1.00005
0.240725,0.68362,1.01109,5.91639,0.998477
0.257735,0.665513,0.908678,5.94881,1.01342
0.251836,0.662124,1.03169,5.94151,1.01469
0.238677,0.654379,0.9217,5.92735,1.00056
0.259929,0.663896,1.0363,5.93752,1.00001
0.263209,0.669498,1.0363,5.93892,1.00608
0.253958,0.667849,0.973622,5.92176,1.01131
0.263793,0.681891,0.902749,5.92983,1.0153
0.252445,0.664281,0.93423,5.91641,1.00276
0.248464,0.67826,0.866036,5.93031,1.00156
0.25286,0.682878,0.947158,5.92369,0.996794
0.256759,0.680166,0.91371,5.90377,0.998506
0.246322,0.672159,0.894604,5.93501,0.998689
0.249683,0.682359,0.918141,5.92599,1.01204
0.250478,0.672372,0.910367,5.93074,1.02234
0.24229,0.657935,0.956393,5.93195,0.995114
0.246002,0.689745,0.857639,5.93245,1.00589
0.247956,0.667787,0.906689,5.92857,1.01188
0.256424,0.66335,0.966682,5.91766,1.00907
0.258796,0.678403,0.917574,5.93195,1.02045
0.243883,0.668913,0.954789,5.93867,1.00405
0.246901,0.682521,0.903926,5.9175,1.01619
0.25048,0.687876,0.89491,5.93421,0.990156
0.264649,0.667331,0.981594,5.93618,1.01185
0.260543,0.673848,0.965375,5.93979,1.00413
0.262188,0.67192,0.914441,5.93671,1.00212
0.259525,0.688733,0.904281,5.95061,1.00823
0.268472,0.679333,0.841391,5.93624,1.00994
0.241568,0.66797,0.917699,5.92492,1.01128
0.244066,0.665344,0.929145,5.93,1.00566
0.265102,0.65645,0.931257,5.90586,1.00662
0.267659,0.669297,0.921597,5.92519,1.0045
0.251369,0.659462,0.988971,5.92123,1.00563
0.247202,0.679384,0.914428,5.92448,1.00447
0.263377,0.664511,0.989631,5.95159,1.00555
0.261545,0.663331,0.917939,5.92855,0.993546
0.259872,0.66601,0.947188,5.94107,1.01008
0.251083,0.663039,0.93389,5.93226,0.995852
0.257223,0.688123,1.00207,5.92519,1.00993
0.258292,0.665914,0.862293,5.93071,1.0058
0.25862,0.685271,0.9168,5.93057,1.00862
0.254366,0.666526,0.890544,5.94488,0.997841
0.249546,0.671737,0.932232,5.91947,1.00114
0.247274,0.672658,0.830662,5.952,1.0089
0.249166,0.672892,0.933422,5.94593,0.999671
0.254689,0.672043,1.01628,5.92551,1.01356
0.248518,0.674189,0.975955,5.93964,1.00843
0.257415,0.673608,0.967415,5.92969,1.00387
0.257012,0.688584,0.967319,5.93139,1.0012
0.250376,0.679553,0.952571,5.92935,1.0083
0.253652,0.677025,0.887483,5.93138,1.00452
0.248959,0.652447,0.926877,5.93047,0.995801
0.253976,0.67437,0.858448,5.93252,1.00373
0.248813,0.677566,0.957689,5.9257,0.996831
0.249957,0.680714,0.848368,5.93292,1.02362
0.241063,0.679493,0.91194,5.91445,1.00903
0.25103,0.664207,0.917728,5.93171,1.00081
0.256557,0.66703,0.900441,5.92035,1.01237
0.2585,0.675912,0.938971,5.94988,0.997502
0.259015,0.679166,0.907447,5.91137,1.00183
0.253596,0.667099,0.970581,5.91522,1.00577
0.235906,0.677191,0.927455,5.93008,1.00169
0.249687,0.685232,0.875911,5.94407,1.00857
0.246862,0.664704,0.924244,5.93266,1.00634
0.257332,0.668512,0.904807,5.93152,1.01757
0.243062,0.671674,0.849186,5.9209,1.00972
0.239538,0.667262,0.94296,5.93239,1.00184
0.269403,0.677242,0.891432,5.94021,1.01114
0.252944,0.655361,0.98669,5.92264,1.02255
0.253087,0.675262,0.933193,5.93989,1.00266
0.257676,0.659153,0.945846,5.91866,1.00644
0.256385,0.663365,0.944755,5.92111,1.00835
0.246322,0.67017,0.960967,5.89886,1.01663
0.265543,0.672024,0.778764,5.92214,1.01116
0.261424,0.67142,0.907745,5.9264,0.996381
0.262114,0.687978,1.00254,5.91964,1.00833
0.245715,0.679249,0.927106,5.91646,1.00966
0.24795,0.675619,0.935786,5.90959,1.01134
0.264161,0.675869,0.981235,5.91287,1.00432
