i,mean,sd,q05,q50,q95,neff,rhat
134,0.130574,0.898012,-1.33195,0.137305,1.60792,1397.58,0.997663
135,-0.493025,0.889909,-1.94038,-0.484505,0.972321,1572.24,1.00073
136,-0.0961324,0.908294,-1.62688,-0.10972,1.40359,1067.8,0.997334
137,-0.0485372,0.884136,-1.46304,-0.0767243,1.39523,682.416,1.00018
138,-0.0604504,0.915709,-1.45163,-0.0998057,1.59359,880.632,0.99764
139,0.189151,0.957571,-1.50212,0.205096,1.72818,1358.03,0.997868
140,-0.255439,1.08707,-1.99377,-0.275816,1.61318,830.808,0.998883
141,0.193294,1.0379,-1.41717,0.19533,1.77204,1110.55,0.997109
142,0.194179,1.00939,-1.45967,0.185277,1.83904,1666.89,0.998311
143,-0.164067,0.873901,-1.49909,-0.189401,1.27205,1185.02,0.998173
144,0.102168,0.997314,-1.5453,0.0686922,1.73732,1666.89,0.997382
145,-0.31466,0.945273,-1.84935,-0.35372,1.25385,1666.89,0.997392
146,0.125315,1.08277,-1.64372,0.123147,1.92378,1666.89,0.997315
147,0.23529,0.994036,-1.43108,0.277263,1.84752,1331.47,0.997494
148,0.192248,0.99649,-1.5072,0.178786,1.79622,908.848,0.99684
149,0.655822,0.857061,-0.665738,0.626926,2.07178,991.233,0.997444
150,-0.753734,0.841734,-2.09127,-0.741743,0.616096,927.682,1.00189
151,-0.517296,0.872149,-1.95071,-0.558026,0.952873,1426.6,0.996925
152,-1.46737,0.803472,-2.86398,-1.48792,-0.156445,990.495,0.997787
153,-0.702928,0.771173,-2.025,-0.706827,0.49738,799.579,1.00087
154,-0.725223,0.864578,-2.08737,-0.728873,0.689238,1053.82,0.997638
155,0.0808206,0.944723,-1.43336,0.0467843,1.72238,1312.83,0.997147
156,0.181386,0.956488,-1.34386,0.215899,1.59993,1344.64,1.0001
157,-0.166648,0.94282,-1.7184,-0.182831,1.3797,1532.15,0.997261
158,-0.0529146,1.00327,-1.69285,-0.0509751,1.64204,684.411,0.997225
159,-0.277129,0.891133,-1.74978,-0.292024,1.17842,982.177,1.00021
160,-0.259034,0.980117,-1.81761,-0.285183,1.30646,1407.13,0.997654
161,0.128537,1.00894,-1.49528,0.137482,1.71289,1666.89,0.997806
162,-0.281236,0.893022,-1.77857,-0.277209,1.15408,960.957,0.998182
163,-0.521567,0.822788,-1.86395,-0.529895,0.861181,1084.2,0.997746
164,-0.0383502,0.874255,-1.46013,-0.0447877,1.38398,1428.64,0.998129
165,1.04312,0.802442,-0.290261,1.04228,2.38364,1126.42,0.998641
166,-0.215938,0.955946,-1.85398,-0.170928,1.30998,1347.86,0.997644
167,0.367829,0.878851,-1.07948,0.396292,1.91006,860.475,0.997135
168,-0.116811,0.887791,-1.62401,-0.118728,1.40056,1666.89,0.997561
169,-0.276247,0.976053,-1.80865,-0.288402,1.37935,876.323,0.999079
170,-0.307892,0.971444,-1.89957,-0.29792,1.3399,1666.89,0.997787
171,0.215833,1.01691,-1.40029,0.244655,1.86799,1233.9,0.997564
172,-0.245868,0.872592,-1.63056,-0.244847,1.10004,1209.86,0.997003
173,-0.107536,0.844399,-1.48575,-0.0913155,1.19875,937.384,0.997052
174,0.219897,0.926192,-1.31607,0.217348,1.67566,1187.88,0.998713
175,0.0950876,0.959827,-1.45226,0.100177,1.60299,1432.13,0.998266
176,0.126714,0.890658,-1.36026,0.111398,1.60671,1357.31,0.997387
177,0.518132,0.950414,-1.09186,0.530246,1.96339,1175.52,0.997085
178,-0.166385,0.8171,-1.5374,-0.180408,1.22926,1321.61,0.997139
179,-0.276909,1.06864,-2.138,-0.279853,1.52559,1507.36,0.996917
180,-0.0439105,0.889402,-1.50383,-0.0738874,1.45939,725.353,0.996888
181,0.218039,0.941521,-1.38219,0.284999,1.67779,1666.89,0.998141
182,0.182111,0.929757,-1.45322,0.206246,1.62226,1666.89,0.998117
183,-0.299018,0.941424,-1.85474,-0.282305,1.33773,1197.26,0.99891
184,0.710011,0.878929,-0.765264,0.670574,2.19369,1666.89,0.998066
185,0.76783,0.777246,-0.556554,0.790405,2.02873,834.435,0.997839
186,-0.428215,1.01149,-2.06793,-0.463978,1.26491,1547.25,0.999676
187,0.23365,1.01628,-1.36938,0.234427,1.91354,1050.89,0.99741
188,0.264239,0.864468,-1.19762,0.324695,1.63033,963.899,1.00012
189,0.270025,1.01348,-1.50325,0.315098,1.8569,1071.44,0.996864
190,0.226103,0.884501,-1.19674,0.216316,1.70588,1666.89,0.997385
191,0.164769,0.96669,-1.45791,0.170424,1.72678,976.974,1.00014
192,-0.221617,0.970302,-1.84808,-0.226203,1.36901,1666.89,0.997125
193,0.289915,0.89938,-1.19623,0.259829,1.91368,1041.05,0.999837
194,-0.279563,0.924562,-1.73651,-0.313534,1.29803,1233.82,0.997986
195,0.22493,0.811185,-1.10374,0.241976,1.59667,930.302,0.997544
196,-0.605294,0.900251,-2.14959,-0.601617,0.781297,1043.72,0.997845
197,-0.65251,0.872711,-2.06682,-0.632963,0.791792,1457.7,0.997264
198,0.871096,0.947975,-0.693431,0.880623,2.36168,1666.89,0.998002
199,-0.250391,0.839388,-1.60405,-0.254802,1.17772,1089.13,1.00121
200,0.177542,0.976196,-1.38223,0.18426,1.69841,1666.89,0.99888
