i,mean,sd,q05,q50,q95,neff,rhat
109,-0.266983,0.888094,-1.04533,-0.800017,1.46168,2.00989,1.31985
110,0.572616,0.725029,-0.893314,0.864395,1.48723,4.26166,1.11967
111,-0.543402,0.99233,-1.22802,-1.22747,1.50443,1.60438,1.48918
112,-0.421749,0.980397,-1.19249,-1.19205,1.4117,1.34348,1.77422
113,-0.124386,0.74641,-1.07527,-0.408297,1.46303,4.53461,1.10367
114,0.962109,0.959245,-0.903532,1.70746,1.70767,1.35846,1.73886
115,-0.904928,0.759784,-2.29206,-0.577969,-0.102268,3.71221,1.13823
116,0.284852,0.730901,-1.16515,0.425454,1.41921,46.0726,1.02212
117,-0.517922,0.658465,-1.51645,-0.620092,0.751939,117.288,1.01299
118,-0.973288,1.19192,-2.02557,-1.92975,1.07831,1.16254,2.39336
119,-0.296818,0.749848,-0.905668,-0.774149,1.33146,1.83102,1.37821
120,0.143765,0.646532,-1.19633,0.356528,1.09835,6.455,1.07675
121,-0.404348,0.751117,-0.998266,-0.83744,1.09295,2.15971,1.28891
122,1.18454,1.20154,-0.965101,2.17492,2.17515,1.26296,1.95405
123,-0.207398,0.675357,-1.4849,-0.035113,0.811603,12.5905,1.04255
124,0.681243,0.914379,-1.17539,1.26102,1.41989,1.84624,1.3759
125,-0.0463031,0.665962,-1.14488,-0.182074,1.30054,32.2303,1.02559
126,-0.154335,0.675911,-1.16467,-0.39127,1.21667,6.00255,1.08591
127,0.449316,0.709318,-1.12386,0.761275,1.26729,3.37021,1.14893
128,-0.0507294,0.665187,-0.961299,-0.280103,1.28666,5.62667,1.08278
129,0.367598,0.567326,-0.583343,0.316608,1.4198,733.656,1.00484
130,0.318763,0.60386,-0.692616,0.216454,1.52126,248.201,1.01709
131,0.283716,0.67484,-0.931583,0.307379,1.45267,1125.04,0.998312
132,-0.46451,0.905702,-1.21986,-0.999065,1.43722,2.07533,1.30526
133,0.242654,0.633015,-0.812188,0.200001,1.49591,1666.89,0.99987
134,0.416791,0.705548,-1.0687,0.79922,1.15482,2.40676,1.24354
135,0.293434,0.656276,-0.678475,0.175219,1.50247,40.135,1.02601
136,0.248895,0.717957,-1.26057,0.431472,1.34782,14.7706,1.04165
137,-0.0291061,0.589114,-0.977302,-0.106102,1.04843,786.259,1.0083
138,-0.126108,0.713317,-1.40978,-0.121888,1.15538,1368.62,0.998029
139,-0.754392,0.995494,-1.55746,-1.55725,1.12025,1.29971,1.86635
140,-0.18488,0.610704,-1.33807,-0.171736,0.912571,1113.55,0.997272
141,0.347349,0.73032,-1.06443,0.426526,1.60868,676.706,1.00463
142,-0.0486861,0.65202,-0.970735,-0.252497,1.2191,7.55198,1.06841
143,-0.632524,1.06343,-1.47976,-1.47942,1.32223,1.31727,1.81803
144,0.527607,1.03934,-1.49688,1.31108,1.31127,1.41868,1.65766
145,0.130011,0.784459,-1.29927,0.171049,1.49396,1666.89,0.999943
146,-0.700547,0.691724,-1.3235,-1.08611,0.784876,2.29264,1.26203
147,0.162112,1.03762,-1.83085,0.871146,0.902602,1.62176,1.47306
148,-0.201237,0.590955,-1.37147,-0.03339,0.669627,10.2101,1.05388
149,-0.215465,0.707899,-1.25604,-0.509804,1.18463,3.78674,1.12955
150,-0.878449,0.693184,-1.83083,-1.14572,0.490344,4.69823,1.10783
151,0.618188,0.779929,-1.02731,1.02467,1.47173,2.53381,1.22088
152,-0.974732,1.26799,-2.03951,-2.03924,1.36725,1.23724,2.04578
