gamma_base,alpha,beta_time,mu_log_time,sigma_log_time
0.302616,0.873238,0.881534,5.9178,1.03294
0.296754,0.864499,0.908359,5.91918,1.04089
0.283429,0.86546,0.835455,5.90062,1.03598
0.298148,0.88185,0.803355,5.90944,1.02168
0.297408,0.883979,0.903985,5.92099,1.0396
0.310232,0.894904,0.944154,5.927,1.03838
0.296229,0.870961,0.89489,5.9148,1.02998
0.28453,0.897164,0.902014,5.92443,1.03069
0.282789,0.852547,0.980223,5.92269,1.02287
0.285962,0.869501,0.994246,5.94077,1.02574
0.291334,0.882392,0.899481,5.9119,1.03894
0.298949,0.871913,0.919423,5.92232,1.02438
0.301832,0.882601,0.851387,5.91053,1.02481
0.301716,0.874875,0.783992,5.90413,1.03473
0.301429,0.863027,0.934345,5.91507,1.03308
0.284807,0.880349,0.870407,5.91929,1.03248
0.297264,0.872537,0.900675,5.92122,1.03574
0.294387,0.889845,0.97645,5.91796,1.03001
0.288168,0.881326,0.932413,5.92233,1.03008
0.29876,0.881121,0.893433,5.92675,1.028
0.304367,0.882042,0.902425,5.91371,1.02912
0.285667,0.862426,0.805337,5.92852,1.03421
0.28944,0.854076,0.87142,5.92066,1.03366
0.306406,0.881936,0.875674,5.91397,1.04113
0.293657,0.874634,0.833531,5.91225,1.03549
0.292168,0.879821,0.889833,5.92089,1.03085
0.289071,0.868345,0.962649,5.91256,1.0308
0.307062,0.886623,0.817626,5.91739,1.02601
0.289996,0.875071,0.841166,5.91318,1.01883
0.290894,0.891967,0.789791,5.93232,1.03881
0.298448,0.883666,0.798365,5.90189,1.02293
0.278547,0.882048,0.956462,5.93035,1.02538
0.301284,0.881562,0.896969,5.91902,1.02286
0.297873,0.882928,0.921054,5.91874,1.02909
0.291953,0.877615,0.741952,5.91182,1.03448
0.29143,0.878958,0.781347,5.91301,1.02564
0.284639,0.870448,0.860883,5.92071,1.03904
0.299501,0.872725,0.91797,5.92534,1.0376
0.295203,0.894023,0.804828,5.92116,1.02168
0.288732,0.88612,0.94231,5.92662,1.02787
0.288757,0.8531,0.800592,5.93663,1.05396
0.295442,0.878897,0.926807,5.91416,1.03097
0.286658,0.845558,0.782995,5.91671,1.0358
0.283496,0.876834,0.968386,5.91176,1.02029
0.296184,0.906508,0.864353,5.93325,1.02826
0.307265,0.881284,0.957252,5.92846,1.02824
0.293505,0.869831,0.865063,5.93584,1.03267
0.294372,0.880774,0.837532,5.89877,1.03092
0.288784,0.882959,0.836919,5.92638,1.03559
0.300151,0.851296,0.904491,5.91094,1.04105
0.298008,0.88498,0.795524,5.90741,1.03772
0.309131,0.884272,0.882994,5.92006,1.02868
0.293231,0.878312,0.894755,5.90067,1.02606
0.292285,0.889838,0.898254,5.91776,1.04143
0.299503,0.867705,0.742756,5.92501,1.04044
0.285805,0.892487,0.880621,5.92311,1.02619
0.292341,0.880489,1.00118,5.92365,1.03178
0.292348,0.868624,0.874352,5.90576,1.02342
0.297786,0.86366,0.808906,5.90657,1.03771
0.304555,0.867653,0.871647,5.9049,1.0342
0.288442,0.88341,0.753754,5.91501,1.02887
0.291833,0.885806,0.875664,5.91799,1.03564
0.291377,0.892089,1.01342,5.92699,1.02831
0.299769,0.892521,0.772634,5.91264,1.04353
0.299668,0.870799,0.869759,5.94149,1.0373
0.285529,0.885734,0.88737,5.90505,1.03381
0.296254,0.873064,0.915348,5.9239,1.03477
0.298389,0.889227,0.976712,5.93209,1.03679
0.301095,0.884456,0.921515,5.90657,1.03486
0.30213,0.889952,0.884563,5.92374,1.036
0.297838,0.880915,0.877582,5.91689,1.03162
0.287572,0.864029,0.836857,5.92535,1.03508
0.298696,0.863917,0.846535,5.92687,1.02282
