,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
log_lik[8821],-0.84043,0.0133474,0.433436,-1.7173,-0.705965,-0.370384,1054.53,6.14039,0.996804
log_lik[8822],-0.390149,0.00595045,0.132594,-0.65305,-0.345903,-0.28344,496.529,2.89122,0.996684
log_lik[8823],-0.454115,0.0062065,0.178148,-0.786197,-0.398251,-0.304375,823.885,4.79737,0.997554
log_lik[8824],-0.664977,0.0108312,0.303671,-1.24414,-0.570265,-0.339378,786.059,4.57711,1.0006
log_lik[8825],-0.949545,0.0083072,0.237272,-1.27158,-0.986219,-0.524672,815.802,4.7503,0.997909
log_lik[8826],-0.603318,0.0110557,0.296355,-1.20255,-0.506005,-0.328783,718.545,4.18398,0.997665
log_lik[8827],-0.895008,0.0121761,0.328161,-1.30898,-0.955661,-0.312718,726.366,4.22953,0.99785
log_lik[8828],-0.482554,0.00625476,0.172642,-0.817671,-0.42526,-0.314346,761.854,4.43617,0.998785
log_lik[8829],-0.782842,0.01116,0.359922,-1.31026,-0.799103,-0.176009,1040.13,6.05652,0.997276
log_lik[8830],-0.848653,0.0138907,0.346256,-1.3252,-0.89571,-0.230556,621.367,3.61813,0.999383
log_lik[8831],-0.401191,0.00655352,0.161593,-0.765612,-0.347404,-0.276985,607.985,3.54021,1.0024
log_lik[8832],-0.538495,0.0111531,0.245162,-1.06032,-0.458711,-0.318538,483.183,2.81351,0.999269
log_lik[8833],-0.534323,0.00880873,0.207249,-0.934498,-0.476089,-0.332331,553.555,3.22327,0.998214
log_lik[8834],-0.493613,0.00784704,0.177075,-0.890664,-0.438328,-0.319825,509.216,2.96509,1.00776
log_lik[8835],-0.650907,0.0142661,0.366021,-1.4102,-0.517585,-0.324665,658.267,3.833,0.998279
log_lik[8836],-0.600637,0.0170437,0.325216,-1.20947,-0.548925,-0.151334,364.096,2.12008,1.00493
log_lik[8837],-0.430938,0.00733641,0.180798,-0.770901,-0.367015,-0.292764,607.325,3.53636,1.00083
log_lik[8838],-0.457424,0.0064369,0.150009,-0.739432,-0.414191,-0.311908,543.103,3.16241,0.999001
log_lik[8839],-0.488107,0.0135361,0.285616,-1.07108,-0.372938,-0.294244,445.224,2.59247,0.998558
log_lik[8840],-0.521143,0.0110589,0.279349,-1.19183,-0.415262,-0.299225,638.071,3.7154,0.99716
