"user_skill[1,1]","user_skill[2,1]","user_skill[3,1]","user_skill[1,2]","user_skill[2,2]","user_skill[3,2]","user_skill[1,3]","user_skill[2,3]","user_skill[3,3]","user_skill[1,4]","user_skill[2,4]","user_skill[3,4]","user_skill[1,5]","user_skill[2,5]","user_skill[3,5]","user_skill[1,6]","user_skill[2,6]","user_skill[3,6]","user_skill[1,7]","user_skill[2,7]","user_skill[3,7]","user_skill[1,8]","user_skill[2,8]","user_skill[3,8]","user_skill[1,9]","user_skill[2,9]","user_skill[3,9]"
-1.62863,-0.74463,-0.979973,-5.10282,0.973413,-1.72688,-0.911569,-1.15523,-5.76308,-2.06474,-3.556,-1.19354,-3.0897,0.602754,-4.8185,-1.54325,-0.744101,-0.683123,-1.51736,-1.20154,-0.199877,-0.21975,0.648746,-0.139702,-4.15753,-3.59862,-3.46646
-0.491483,-0.319464,-0.631293,-0.749218,-2.76776,-3.63708,-2.38451,-4.00202,2.03301,-2.12381,-0.339306,-1.63956,-2.29841,-4.29658,0.48202,2.92168,-5.58619,1.5188,0.438485,0.0802614,-0.890014,-0.327855,-1.17643,-0.158227,6.46286,3.86984,5.49549
-0.497192,-0.33179,-0.515336,-2.87295,-2.38717,-4.6533,-0.946516,-0.448667,-5.23607,-2.17005,-0.6191,-0.266805,-1.47803,-2.0944,-3.78395,3.78683,-3.86151,1.09825,-0.718654,0.700509,-1.3794,1.54077,1.25569,3.50848,0.440301,-0.430219,-1.23601
-0.052201,-0.746579,-0.318236,-1.61586,0.432729,-0.929091,-0.675296,-1.4343,-0.47662,-1.63856,-1.92468,-1.35789,-0.894801,-2.8404,0.769314,-2.16942,-1.15213,-1.09139,-0.155789,-1.08898,0.0409248,-1.25687,0.692107,-3.45967,1.70859,2.28344,2.38006
-0.492038,0.621478,0.718517,-2.21719,-3.08106,-4.95008,-4.157,-1.74333,-4.82469,-2.44949,-0.867405,-0.78121,-2.36799,-1.11735,-2.7521,2.50345,-2.28575,-0.0354951,-0.0751264,1.37413,-2.04288,1.21162,-2.34877,4.16191,-0.844809,-2.84716,-2.39543
-3.03846,-0.535822,-1.04437,-3.29475,0.961302,-2.25026,-0.696687,-0.910794,-1.88977,-1.40892,-1.86971,-0.82164,-1.49155,0.569361,-1.68275,-3.23372,-0.225093,2.10592,-0.985319,-1.42218,-0.810094,0.614718,1.61963,0.719887,0.114554,0.814318,0.505268
-1.54039,-0.435631,-1.37511,-2.0405,1.23891,-1.98116,-0.628887,-0.355343,-4.39019,-0.998235,-1.00613,-1.56248,-0.196643,0.751299,-1.8376,-0.603543,-0.194046,-0.31017,-0.167839,-1.79449,-0.32913,-1.05587,1.06236,-2.39093,-0.386574,-0.424346,-0.591803
-0.183959,1.06506,1.97564,-1.97976,-2.36739,-1.85997,-1.18354,-1.70057,-0.250443,-2.70844,-2.06745,-0.338027,-3.19472,-2.33757,-1.7527,-0.696851,-1.39175,-1.26333,-0.235676,1.30668,-1.51808,0.925083,0.0571648,1.00109,-2.22551,-0.634652,-1.02908
0.372518,-0.751465,-1.75171,-1.37914,-0.679095,-2.07417,-1.27754,-0.109702,-3.74313,-1.22613,-1.05027,-1.35254,-0.888283,0.00413159,-1.74323,-0.847052,0.563428,-1.08293,-0.370756,-1.39249,0.170009,0.0043756,0.535704,-1.92886,0.865285,-0.0856601,-0.0963734
-0.610266,0.031212,0.774827,-2.09318,-0.171506,-1.32682,-1.74341,-1.19066,-0.231324,-1.53692,-1.00961,-0.537937,-0.930983,-1.60228,-0.963905,-0.172674,-0.496071,-1.42802,2.48816,0.147238,-2.31269,0.811438,0.40939,-0.117964,-0.215689,-0.604122,-1.61431
-1.30541,1.31981,1.11939,-2.23563,0.913594,-2.52058,-2.43517,-2.26562,-2.49278,-1.44459,-1.25198,-1.10775,-1.6914,-2.98039,-2.19781,-1.00372,-0.891583,-0.735034,0.598103,-0.409433,0.827824,-0.752686,-0.0360437,-0.785752,-0.749663,0.17579,0.6798
-1.54233,-2.99422,-2.73342,0.593633,-0.208763,-2.57031,-1.46904,-0.0840004,-1.17769,-1.02529,-1.62204,-0.213619,-1.49608,-0.488241,0.955371,0.576241,1.20459,1.16742,0.262256,-1.07312,-0.0301827,0.393596,1.69664,1.46611,0.587737,-0.314157,-0.799092
-1.72744,3.96879,1.3328,-3.59073,0.251518,-1.32695,-0.187543,-2.00601,-3.20835,-2.12302,-0.450957,-0.799388,-0.766896,-1.99224,-4.068,-1.37453,-1.54344,-2.43904,-0.955298,1.0752,-0.746526,-0.418369,-1.50602,-1.07881,-1.34489,-0.483299,0.543609
3.47939,0.432427,-0.294503,-1.35337,-0.368071,-1.42954,-1.81911,-3.34418,-4.0323,-0.603447,-0.962803,-0.584683,-2.16791,0.437661,-1.12703,-1.50279,-1.06082,3.27799,-0.115367,0.16876,-1.13133,-2.50326,-0.255739,1.45046,1.76448,-1.24674,-1.90074
0.787348,-0.00138546,-0.902946,-2.16252,-0.426316,-2.81627,0.426125,1.16659,1.03284,-1.92959,-1.54835,-1.02735,-1.48141,-1.65343,-1.02439,-1.2135,-1.49632,-2.24376,-0.677231,-1.75107,0.161425,1.34295,-0.423417,-1.22358,-1.38914,1.44734,1.31653
-0.752554,-4.50302,0.764484,-1.14286,-1.42746,-3.19244,-2.89989,-2.12816,-3.66671,-1.36799,-1.27156,-0.340242,-1.72045,-0.274483,-0.276563,-1.18684,7.28219,6.1714,-2.90607,-2.84336,-3.1282,0.875995,0.958108,0.500873,1.39062,0.402822,-1.09236
-1.04909,1.59837,-0.828082,-2.50288,-1.40337,-1.44796,-0.137525,0.0627435,0.241989,-1.23322,-0.754903,-1.07425,-1.38252,-2.86146,-2.6294,-1.79732,-2.5,-2.52931,1.43722,1.89738,1.50177,1.74749,0.10761,1.59298,-2.09085,-0.982924,-0.166271
