gamma_base,alpha,beta_time,mu_log_time,sigma_log_time
0.193711,0.738045,0.92525,5.83424,0.985872
0.192889,0.737747,0.898841,5.8331,0.990328
0.19552,0.732209,0.871515,5.83712,0.988666
0.194415,0.713732,0.960371,5.83785,0.990671
0.194064,0.729894,0.968226,5.82875,0.995059
0.195436,0.698692,0.900075,5.82958,0.987255
0.198769,0.740917,0.993369,5.83329,0.988061
0.191615,0.716296,0.872493,5.82779,0.986796
0.190451,0.724295,0.976038,5.83921,0.984976
0.195986,0.739105,1.03513,5.83242,0.980746
0.193837,0.734157,1.02037,5.83611,0.978856
0.195875,0.735337,0.808312,5.8325,0.987513
0.196108,0.733407,0.962496,5.83467,0.992624
0.188233,0.732498,0.990637,5.83564,0.994592
0.192705,0.73397,0.909412,5.83569,0.982147
0.194893,0.721305,0.910091,5.82739,0.992483
0.188925,0.728551,0.975082,5.8389,0.979393
0.194948,0.719548,0.873151,5.84117,0.989779
0.198908,0.744392,0.907149,5.82848,0.986433
0.195527,0.732869,0.980884,5.83837,0.991153
0.198667,0.734386,0.876361,5.8363,0.989413
0.19889,0.732189,0.943467,5.84183,0.985016
0.190324,0.74304,0.94141,5.82913,0.988545
0.189023,0.723064,1.02086,5.83689,0.983446
0.190122,0.729423,0.975749,5.83284,0.988801
0.193345,0.731067,0.968136,5.82723,0.99004
0.194115,0.732873,0.946254,5.83451,0.989009
0.191259,0.722684,0.938297,5.82659,0.978498
0.190572,0.723162,1.07278,5.82938,0.986832
0.196593,0.74613,0.897625,5.83317,0.992704
0.194701,0.723755,0.945503,5.82961,0.981001
0.194455,0.738442,0.893163,5.83318,0.992531
0.189711,0.739199,0.875491,5.83399,0.986398
0.196329,0.729523,0.935273,5.8242,0.984248
0.194987,0.741688,0.877185,5.84327,0.988957
0.194625,0.730205,0.972339,5.83716,0.984873
0.188394,0.721135,0.951826,5.83401,0.994464
0.194954,0.730882,0.939119,5.82498,0.996783
0.189848,0.745361,0.867653,5.82135,0.993548
0.188515,0.736523,0.975983,5.82772,0.988199
0.194074,0.736314,0.968974,5.82668,0.988132
0.189727,0.730768,0.954469,5.84392,0.997219
0.192295,0.730591,0.926313,5.84602,0.982587
0.192724,0.729791,0.916093,5.83355,0.986597
0.195123,0.72486,0.961067,5.8297,0.993754
0.19901,0.735093,0.803661,5.83225,0.986296
0.190561,0.730605,0.921559,5.83241,0.988943
0.18961,0.730531,0.983742,5.83216,0.986537
0.189196,0.731322,0.926807,5.81981,0.991204
0.195453,0.728302,0.884543,5.83576,0.985939
0.191648,0.729974,0.840365,5.82639,0.989871
0.191827,0.724103,0.838761,5.83728,0.987997
0.183921,0.731868,0.848989,5.83197,0.987031
0.196432,0.727263,0.888374,5.82601,0.990399
0.194545,0.730804,0.931952,5.84109,0.989206
0.190758,0.733295,0.916254,5.83528,0.999069
0.190499,0.746936,0.968825,5.83093,0.989294
0.18803,0.731403,0.972596,5.82286,0.985017
0.195815,0.723401,0.953025,5.84012,0.983483
0.190667,0.737833,0.879364,5.83275,0.978851
0.198401,0.737963,0.923984,5.83235,0.984032
